"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ASV887"	"nb_seq"	"nb_seq"	"nb_seq"	0.75267457596088	0	0.232160974119268	0.00118678419809205	0.055589812039834	0.00237215993945127	0.090791300419419	NA	"prevalence"	185	40
"ASV859"	"nb_seq"	"nb_seq"	"nb_seq"	-5.20089095336348	-1.24755702628068	1.08823565739407	0.00126013771897471	0.0579992082307228	0.00126013771897471	0.0602876413972636	NA	"abundance"	185	35
"ASV564"	"nb_seq"	"nb_seq"	"nb_seq"	1.26607577372323	0	0.392295840059972	0.00124942758758289	0.0579992082307228	0.00249729410586916	0.0945850142597945	NA	"prevalence"	185	7
"ASV505"	"nb_seq"	"nb_seq"	"nb_seq"	-4.04236805740974	-1.24755702628068	0.771965207056528	0.00129020832733229	0.0583303492757125	0.00129020832733229	0.0609246425737688	NA	"abundance"	185	41
"ASV151"	"nb_seq"	"nb_seq"	"nb_seq"	0.851502170271975	0	0.264779387178268	0.00130039320131005	0.0583303492757125	0.00259909538014208	0.0963398781539198	NA	"prevalence"	185	17
"ASV369"	"nb_seq"	"nb_seq"	"nb_seq"	0.808488402350016	0	0.251044450833661	0.00127967640051521	0.0583303492757125	0.00255771522934038	0.0958747688029031	NA	"prevalence"	185	29
"ASV277"	"nb_seq"	"nb_seq"	"nb_seq"	0.810522365991608	0	0.25224377506683	0.00131241896891994	0.0583750722898591	0.0026231154942899	0.0963398781539198	NA	"prevalence"	185	26
"ASV551"	"nb_seq"	"nb_seq"	"nb_seq"	0.914066169318904	0	0.28504545688588	0.00134249086940751	0.0591151105940254	0.00268317945708058	0.0975604050594499	NA	"prevalence"	185	20
"ASV610"	"nb_seq"	"nb_seq"	"nb_seq"	0.702360407589876	0	0.219516200770677	0.00137626328400599	0.0597095210019976	0.00275063246738508	0.0990227688258628	NA	"prevalence"	185	43
"ASV599"	"nb_seq"	"nb_seq"	"nb_seq"	1.16016417483587	0	0.365454729535269	0.00150055077866962	0.0640517360604703	0.00299884990469988	0.105862313140668	NA	"prevalence"	185	17
"ASV811"	"nb_seq"	"nb_seq"	"nb_seq"	-1.57765875667734	0	0.496774855383604	0.00149422716259126	0.0640517360604703	0.00298622161036909	0.105862313140668	NA	"prevalence"	185	28
"ASV172"	"nb_seq"	"nb_seq"	"nb_seq"	0.725106700135028	0	0.228850160452318	0.0015323934286624	0.0648876673432806	0.00306243862770459	0.106047874765085	NA	"prevalence"	185	31
"ASV426"	"nb_seq"	"nb_seq"	"nb_seq"	0.786555324551897	0	0.249888911670872	0.00164605552688343	0.0689234324702152	0.00328940155496928	0.111260135503973	NA	"prevalence"	185	24
